"GEOID","pop_female","pop_male","pop_asian","pop_black","pop_hispanic","pop_native","pop_other","pop_white","pop_65_74","pop_75_84","pop_85_pl","pop25_w_bach","tot_pop25","pct_w_bach","median_hh_inc","hh_below_pl","tot_hh","pct_hh_below_pl"
"370630015042",57,88,4,45,8,0,2,86,82,39,24,534,907,0.588754134509372,29795,245,711,0.344585091420534
"370630015051",63,43,6,70,11,0,2,17,66,31,9,326,1117,0.291853178155774,28438,241,883,0.272933182332956
"370630015052",19,31,1,22,1,0,0,26,38,5,7,561,733,0.765347885402456,35327,357,765,0.466666666666667
"370630015053",43,51,2,56,2,0,2,32,47,32,15,257,557,0.461400359066427,34245,147,412,0.356796116504854
"370630016011",215,192,2,102,6,3,4,290,227,128,52,177,799,0.221526908635795,66053,49,434,0.112903225806452
"370630016012",125,120,10,65,6,0,4,160,175,54,16,535,1078,0.496289424860853,87266,14,512,0.02734375
"370630016013",87,68,1,33,5,0,3,113,91,42,22,148,322,0.459627329192547,NA,0,195,0
"370630016014",157,85,4,151,6,3,5,73,177,49,16,401,1173,0.341858482523444,70313,137,596,0.229865771812081
"370630016015",214,139,4,59,4,0,5,281,198,121,34,343,750,0.457333333333333,74333,36,406,0.0886699507389163
"370630016031",94,89,2,5,4,0,5,167,134,40,9,248,428,0.579439252336449,106750,0,213,0
"370630016032",112,85,3,28,9,0,5,152,111,64,22,308,853,0.361078546307151,64600,17,533,0.0318949343339587
"370630016033",182,161,0,47,5,0,10,281,181,131,31,254,942,0.26963906581741,52636,15,448,0.0334821428571429
"370630016034",135,97,7,50,6,0,12,157,166,50,16,396,1119,0.353887399463807,NA,51,727,0.0701513067400275
"370630016035",130,81,15,50,4,0,4,138,129,66,16,532,1164,0.457044673539519,100057,31,656,0.0472560975609756
"370630016036",108,116,3,21,2,0,2,196,168,43,13,601,844,0.712085308056872,183317,0,483,0
"370630016041",206,178,3,35,4,0,8,334,246,108,30,678,1222,0.554828150572831,111574,48,614,0.0781758957654723
"370630016042",51,53,1,39,0,0,3,61,85,15,4,183,344,0.531976744186046,44044,68,178,0.382022471910112
"370630016043",104,80,2,16,3,0,1,162,115,60,9,341,459,0.742919389978213,NA,13,249,0.0522088353413655
"370630016044",191,154,8,30,2,0,6,299,206,100,39,696,979,0.710929519918284,121075,0,529,0
"370630016045",149,148,2,30,5,0,2,258,213,58,26,338,742,0.455525606469003,107693,48,441,0.108843537414966
"370630016046",105,92,0,70,4,0,1,122,130,60,7,638,1104,0.577898550724638,73269,9,600,0.015
"370630016047",146,88,2,11,4,1,1,215,124,93,17,141,500,0.282,NA,0,297,0
